# Seed OUI/MA prefix table for Wi-Fi AP vendor display.
# Format: hexadecimal prefix<TAB>vendor display name
# Prefixes may be 24, 28, 36, or 48 bits. The lookup checks the longest prefix first.
# Seeded from public IEEE Registration Authority style assignments and Wireshark manuf-compatible prefix data.
00040F	ASUS
000C6E	ASUS
000EA6	ASUS
00112F	ASUS
0011D8	ASUS
0013D4	ASUS
0015F2	ASUS
001731	ASUS
0018F3	ASUS
001A92	ASUS
001BFC	ASUS
001D60	ASUS
001E8C	ASUS
001FC6	ASUS
002215	ASUS
002354	ASUS
00248C	ASUS
002618	ASUS
00E018	ASUS
04421A	ASUS
04D4C4	ASUS
04D9F5	ASUS
08606E	ASUS
086266	ASUS
08BFB8	ASUS
107B44	ASUS
107C61	ASUS
10BF48	ASUS
10C37B	ASUS
14DAE9	ASUS
14DDA9	ASUS
1831BF	ASUS
1C872C	ASUS
1CB72C	ASUS
20CF30	ASUS
244BFE	ASUS
2C4D54	ASUS
2C56DC	ASUS
2CFDA1	ASUS
305A3A	ASUS
3085A9	ASUS
30C599	ASUS
3497F6	ASUS
382C4A	ASUS
38D547	ASUS
3C7C3F	ASUS
40167E	ASUS
40B076	ASUS
485B39	ASUS
4CEDFB	ASUS
50465D	ASUS
50EBF6	ASUS
5404A6	ASUS
54A050	ASUS
581122	ASUS
6045CB	ASUS
60A44C	ASUS
60CF84	ASUS
704D7B	ASUS
708BCD	ASUS
74D02B	ASUS
7824AF	ASUS
7C10C9	ASUS
88D7F6	ASUS
90E6BA	ASUS
9C5C8E	ASUS
A036BC	ASUS
A0AD9F	ASUS
AC220B	ASUS
AC9E17	ASUS
B06EBF	ASUS
B082E2	ASUS
BCAEC5	ASUS
BCBF2E	ASUS
BCEE7B	ASUS
BCFCE7	ASUS
C86000	ASUS
C87F54	ASUS
CC28AA	ASUS
D017C2	ASUS
D45D64	ASUS
D850E6	ASUS
E03F49	ASUS
E0CB4E	ASUS
E89C25	ASUS
F02F74	ASUS
F07959	ASUS
F46D04	ASUS
F832E4	ASUS
FC3497	ASUS
FCC233	ASUS
00000C	Cisco
000142	Cisco
000143	Cisco
000163	Cisco
000164	Cisco
000196	Cisco
000197	Cisco
00055D	D-Link
000C42	RouterBOARD
000F66	Cisco
001122	Ubiquiti
001310	Cisco
001422	Dell
00156D	Ubiquiti
00179A	D-Link
00180A	Cisco Meraki
001A1E	Aruba
001B2F	Cisco
001DAA	Ubiquiti
001E58	D-Link
001F33	NETGEAR
002129	Cisco
00226B	Cisco
002304	Cisco
002401	D-Link
00246C	Ubiquiti
00259C	Cisco
00265A	D-Link
002722	Ubiquiti
005056	VMware
00904C	Epigram/Broadcom
0418D6	Ubiquiti
049226	ASUS
04F021	Compex
08028E	NETGEAR
085531	Cisco Meraki
0C8063	TP-Link
0C9D92	ASUS
10DA43	NETGEAR
1459C0	TP-Link
186472	Aruba
18E829	Ubiquiti
1C1B0D	Giga-byte
20A6CD	Aruba
245A4C	Ubiquiti
24A43C	Ubiquiti
28C68E	NETGEAR
2C3033	NETGEAR
2C3AFD	NETGEAR
340804	D-Link
34EFB6	Cisco Meraki
3817C3	Ubiquiti
3C3786	NETGEAR
3C846A	TP-Link
4448C1	Ubiquiti
482254	TP-Link
4C5E0C	RouterBOARD
50C7BF	TP-Link
586D8F	Cisco Meraki
5C5B35	MikroTik
602232	Ubiquiti
6466B3	TP-Link
687251	Ubiquiti
6C3B6B	RouterBOARD
704F57	TP-Link
7483C2	Ubiquiti
788A20	Ubiquiti
7C8BCA	TP-Link
802AA8	Ubiquiti
8416F9	TP-Link
84D81B	TP-Link
881544	Cisco Meraki
909A4A	TP-Link
941882	HPE Aruba
9C05D6	Cisco Meraki
A03D6F	Cisco Meraki
A42BB0	TP-Link
A85E45	Ubiquiti
AC84C6	TP-Link
B04E26	TP-Link
B4FBE4	Ubiquiti
B827EB	Raspberry Pi
BC9FE4	Aruba
C025E9	TP-Link
C05627	NETGEAR
C40415	NETGEAR
C4AD34	RouterBOARD
C83A35	Tenda
D021F9	Ubiquiti
D46E0E	TP-Link
D807B6	TP-Link
DC9FDB	Ubiquiti
E063DA	Ubiquiti
E43883	Ubiquiti
E848B8	TP-Link
EC086B	TP-Link
F09FC2	Ubiquiti
F492BF	Ubiquiti
F81A67	TP-Link
FCECDA	Ubiquiti
